,Unnamed: 0,gvkey,gvkeyx,from_date,thru_date,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic
0,11211,1078,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,ABBOTT LABORATORIES,ABT
1,11212,1300,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,HONEYWELL INTERNATIONAL INC,HON
2,11213,1440,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,AMERICAN ELECTRIC POWER CO,AEP
3,11214,2285,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,BOEING CO,BA
4,11215,2403,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,BRISTOL-MYERS SQUIBB CO,BMY
5,11216,2436,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,CALERES INC,CAL
6,11217,2663,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,CAMPBELL SOUP CO,CPB
7,11218,2817,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,CATERPILLAR INC,CAT
8,11219,2991,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,CHEVRON CORP,CVX
9,11220,3144,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,COCA-COLA CO,KO
10,11221,3170,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,COLGATE-PALMOLIVE CO,CL
11,11222,3413,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,CONSOLIDATED EDISON INC,ED
12,11223,3532,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,CORNING INC,GLW
13,11224,3580,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,CRANE CO,CR
14,11225,3650,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,CUMMINS INC,CMI
15,11226,3835,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,DEERE & CO,DE
16,11227,3897,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,DTE ENERGY CO,DTE
17,11228,4029,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,DOMINION ENERGY INC,D
18,11229,4199,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,EATON CORP PLC,ETN
19,11230,4321,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,EMERSON ELECTRIC CO,EMR
20,11231,4503,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,EXXON MOBIL CORP,XOM
21,11232,4510,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,FMC CORP,FMC
22,11233,4839,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,FORD MOTOR CO,F
23,11234,5046,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,GENERAL DYNAMICS CORP,GD
24,11235,5047,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,GENERAL ELECTRIC CO,GE
25,11236,5087,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,SPX CORP,SPXC
26,11237,5234,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,GOODYEAR TIRE & RUBBER CO,GT
27,11238,5439,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,HALLIBURTON CO,HAL
28,11239,5597,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,HERSHEY CO,HSY
29,11240,5860,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,ITT INC,ITT
30,11241,6066,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,INTL BUSINESS MACHINES CORP,IBM
